# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	25487
#@/user_id	08739937-06a1-48ea-b483-a1d82a4c18b3
Epsilon 	Ε	c=1 d=1.21929e-09 t=25487
hao 	号	c=22 d=0.00604628 t=25487
hao 	好	c=67 d=1.45448 t=25487
hao 	郝	c=1 d=1.86984e-11 t=25487
hao ba 	好吧	c=15 d=9.14242e-05 t=25487
hao bu hao 	好不好	c=1 d=0.327915 t=25487
hao bu rong yi 	好不容易	c=1 d=8.55053e-41 t=25487
hao cai 	好菜	c=1 d=0.000370744 t=25487
hao chi 	好吃	c=1 d=9.19138e-09 t=25487
hao chu 	好处	c=1 d=8.89973e-12 t=25487
hao da de 	好大的	c=1 d=9.14997e-44 t=25487
hao de 	好的	c=175 d=1.05021 t=25487
hao dian 	好点	c=2 d=0.565525 t=25487
hao dian cai 	好点菜	c=1 d=3.24697e-32 t=25487
hao duo 	好多	c=2 d=0.000269216 t=25487
hao duo bao 	好多包	c=1 d=1.74699e-34 t=25487
hao hao 	好好	c=7 d=1.67855e-05 t=25487
hao ji 	好几	c=1 d=2.68603e-36 t=25487
hao ji bei 	好几倍	c=1 d=5.06687e-32 t=25487
hao ji bian 	好几遍	c=1 d=3.97748e-37 t=25487
hao ji ge 	好几个	c=2 d=3.17068e-17 t=25487
hao jia huo 	好家伙	c=2 d=3.85009e-07 t=25487
hao jiu 	好久	c=3 d=2.23586e-25 t=25487
hao jiu hao 	好就好	c=1 d=9.86286e-15 t=25487
hao kan 	好看	c=2 d=0.000153011 t=25487
hao le 	好了	c=14 d=1.20526 t=25487
hao lei 	好勒	c=11 d=2.34164e-10 t=25487
hao ma 	号码	c=4 d=1.03506e-23 t=25487
hao mei yi si 	好没意思	c=1 d=3.83089e-07 t=25487
hao meng chan 	郝梦婵	c=2 d=0.0145524 t=25487
hao nan 	好难	c=1 d=8.95805e-30 t=25487
hao qi 	好奇	c=1 d=5.50683e-41 t=25487
hao qi 	好气	c=2 d=7.68597e-28 t=25487
hao shui 	好睡	c=1 d=1.72279e-17 t=25487
hao shuo 	好说	c=1 d=1.65665e-27 t=25487
hao shuo hua 	好说话	c=2 d=2.9547e-32 t=25487
hao wa 	好哇	c=1 d=3.53564e-34 t=25487
hao wan 	好玩	c=1 d=1.30073e-05 t=25487
hao xiang 	好像	c=16 d=0.000147586 t=25487
hao xiang 	好想	c=2 d=0.0234408 t=25487
hao yi xie 	好一些	c=4 d=3.85968e-07 t=25487
hao yong 	好用	c=3 d=4.44768e-28 t=25487
hao yun 	好运	c=1 d=3.98019e-45 t=25487
hao zhao 	好找	c=1 d=2.02103e-13 t=25487
he 	何	c=3 d=1.78603e-35 t=25487
he 	合	c=1 d=5.423e-37 t=25487
he 	呵	c=1 d=9.03084e-37 t=25487
he 	和	c=128 d=0.00871193 t=25487
he 	喝	c=2 d=0.261845 t=25487
he 	鹤	c=2 d=8.61882e-17 t=25487
he bing 	合并	c=9 d=6.73944e-19 t=25487
he bu he 	合不合	c=0 d=8.48304e-37 t=25487
he bu he shen 	合不合身	c=1 d=8.52549e-36 t=25487
he cha 	喝茶	c=2 d=9.51716e-07 t=25487
he chang 	何尝	c=1 d=5.36082e-19 t=25487
he de 	喝的	c=1 d=4.23292e-34 t=25487
he di 	何地	c=1 d=8.36551e-19 t=25487
he dian 	喝点	c=1 d=0.00225053 t=25487
he dian jiu 	喝点酒	c=1 d=0.0188734 t=25487
he dui 	核对	c=1 d=1.01508e-29 t=25487
he fan 	盒饭	c=2 d=3.27291e-08 t=25487
he ge 	合格	c=2 d=1.2237e-22 t=25487
he ji 	合计	c=1 d=7.51071e-45 t=25487
he jiu 	喝酒	c=0 d=5.81915e-44 t=25487
he ku 	何苦	c=1 d=6.375e-28 t=25487
he man 	何满	c=3 d=9.25003e-25 t=25487
he ni 	和你	c=1 d=1.94575e-37 t=25487
he sha 	喝啥	c=1 d=1.35962e-26 t=25487
he shi 	何时	c=1 d=8.84149e-23 t=25487
he shi 	合适	c=11 d=0.398808 t=25487
he shi 	核实	c=2 d=2.20865e-28 t=25487
he suan 	核算	c=1 d=9.61903e-44 t=25487
he suan 	核酸	c=10 d=1.87156 t=25487
he tong 	合同	c=8 d=2.24112e-08 t=25487
he wo 	和我	c=1 d=1.8506e-06 t=25487
he xin 	核心	c=4 d=6.5297e-16 t=25487
he zuo 	合作	c=6 d=2.70037e-18 t=25487
hei 	黑	c=1 d=8.58925e-06 t=25487
hei de 	黑得	c=1 d=1.13976e-39 t=25487
hei dou 	黑豆	c=1 d=2.63696e-25 t=25487
hei hei 	嘿嘿	c=2 d=4.10093e-30 t=25487
hei hei hei 	嘿嘿嘿	c=1 d=2.65424e-43 t=25487
hei le 	黑了	c=2 d=0.0324239 t=25487
hei pi 	黑啤	c=1 d=8.37717e-06 t=25487
hei se 	黑色	c=2 d=0.0281559 t=25487
hei ti 	黑体	c=0 d=5.7051e-17 t=25487
hen 	很	c=22 d=0.0602359 t=25487
hen bu wen ding 	很不稳定	c=1 d=1.60993e-14 t=25487
hen che 	很扯	c=1 d=0.308819 t=25487
hen da 	很大	c=1 d=3.6046e-26 t=25487
hen di 	很低	c=2 d=2.65034e-21 t=25487
hen di de 	很低的	c=1 d=1.0773e-23 t=25487
hen dui 	很对	c=2 d=1.35446e-42 t=25487
hen duo 	很多	c=9 d=0.00641177 t=25487
hen fang bian 	很方便	c=1 d=1.67159e-15 t=25487
hen gao 	很高	c=1 d=4.15914e-33 t=25487
hen guang 	很广	c=1 d=1.69272e-45 t=25487
hen hao 	很好	c=1 d=4.78593e-08 t=25487
hen hao kan 	很好看	c=1 d=2.51528e-28 t=25487
hen jian dan 	很简单	c=1 d=6.48476e-23 t=25487
hen jiu 	很久	c=1 d=1.15742e-14 t=25487
hen ka 	很卡	c=1 d=4.9554e-35 t=25487
hen kuai 	很快	c=4 d=9.88839e-16 t=25487
hen man 	很慢	c=1 d=1.11204e-14 t=25487
hen mang 	很忙	c=1 d=3.09978e-45 t=25487
hen nan 	很难	c=1 d=9.15487e-21 t=25487
hen qi guai 	很奇怪	c=3 d=2.33017e-10 t=25487
hen se 	很涩	c=1 d=0.0217096 t=25487
hen shao 	很少	c=4 d=0.00287989 t=25487
hen shu xi 	很熟悉	c=1 d=8.86288e-22 t=25487
hen sou 	很搜	c=1 d=3.45374e-23 t=25487
hen xiang 	很想	c=1 d=1.00864e-13 t=25487
heng chang 	哼唱	c=1 d=8.72767e-47 t=25487
heng xiang 	横向	c=9 d=7.62559e-14 t=25487
hong 	洪	c=1 d=2.47487e-14 t=25487
hong gao liang 	红高粱	c=2 d=2.55607e-33 t=25487
hong ji 	宏基	c=0 d=1.78288e-39 t=25487
hong ji yin zu 	宏基因组	c=17 d=0.0123156 t=25487
hong ji yin zu xue 	宏基因组学	c=1 d=8.51076e-45 t=25487
hong lou 	红楼	c=2 d=1.2728e-36 t=25487
hong lou meng 	红楼梦	c=1 d=5.5461e-07 t=25487
hong se 	红色	c=1 d=7.39388e-37 t=25487
hong shao rou 	红烧肉	c=1 d=3.5168e-30 t=25487
hong xian nv 	红线女	c=1 d=9.8307e-06 t=25487
hong yang dong 	洪洋洞	c=6 d=1.77918e-34 t=25487
host 	host	c=2 d=5.31045e-21 t=25487
hou 	后	c=6 d=1.46657e-05 t=25487
hou ban 	后半	c=1 d=0.000590229 t=25487
hou de 	后的	c=2 d=1.31374e-35 t=25487
hou lai 	后来	c=2 d=1.43748e-34 t=25487
hou lai shuo 	后来说	c=1 d=1.48303e-48 t=25487
hou mian 	后面	c=38 d=0.245211 t=25487
hou qi 	后期	c=1 d=4.76936e-26 t=25487
hou tai 	后台	c=4 d=8.03758e-35 t=25487
hou tian 	后天	c=3 d=0.113467 t=25487
hou xu 	后续	c=10 d=3.22513e-20 t=25487
hou xuan ci 	候选词	c=1 d=4.22631e-45 t=25487
hou zhe 	后者	c=1 d=1.42613e-29 t=25487
hou zhong 	厚重	c=2 d=2.32381e-33 t=25487
hou zhui 	后缀	c=1 d=4.01117e-48 t=25487
how 	how	c=1 d=0.000178664 t=25487
hu 	胡	c=1 d=3.29884e-42 t=25487
hu 	虎	c=0 d=1.12826e-09 t=25487
hu bei da gu 	湖北大鼓	c=1 d=4.34156e-38 t=25487
hu bei sheng 	湖北省	c=2 d=8.31644e-38 t=25487
hu bu 	互补	c=1 d=7.32923e-22 t=25487
hu chuan 	互传	c=1 d=0.0182243 t=25487
hu di 	湖底	c=1 d=0.000158462 t=25487
hu er 	胡儿	c=1 d=1.95045e-36 t=25487
hu kou 	虎口	c=1 d=8.52579e-07 t=25487
hu la 	呼啦	c=1 d=4.35057e-33 t=25487
hu luo bo 	胡萝卜	c=1 d=0.913931 t=25487
hu lve 	忽略	c=2 d=0.000452827 t=25487
hu nan 	湖南	c=1 d=0.0095616 t=25487
hu nong 	糊弄	c=1 d=0.000825105 t=25487
hu qin 	胡琴	c=1 d=3.50713e-27 t=25487
hu tou 	虎头	c=1 d=2.18816e-36 t=25487
hu wen 	胡文	c=0 d=1.49432e-50 t=25487
hu wen jing 	胡文景	c=7 d=8.87223e-05 t=25487
hu xi 	呼吸	c=1 d=3.77861e-22 t=25487
hu xi dao 	呼吸道	c=4 d=1.93342e-21 t=25487
hu xi lian 	呼吸链	c=1 d=3.79729e-21 t=25487
hu xiang 	互相	c=2 d=3.21695e-11 t=25487
hu zhou 	胡诌	c=1 d=7.80927e-33 t=25487
hua 	化	c=0 d=3.71312e-23 t=25487
hua 	画	c=10 d=1.35377e-28 t=25487
hua 	花	c=3 d=5.16541e-07 t=25487
hua 	话	c=22 d=0.843673 t=25487
hua bu wan 	花不完	c=1 d=1.32061e-07 t=25487
hua chuang 	滑窗	c=2 d=2.36062e-34 t=25487
hua de 	画的	c=1 d=1.02688e-18 t=25487
hua du qu 	花都区	c=1 d=1.24973e-05 t=25487
hua fen 	划分	c=5 d=3.1568e-16 t=25487
hua gong 	化工	c=1 d=4.0446e-28 t=25487
hua gu xi 	花鼓戏	c=1 d=4.86986e-36 t=25487
hua hua 	花花	c=1 d=2.06678e-41 t=25487
hua kai 	化开	c=1 d=5.9061e-41 t=25487
hua le 	化了	c=1 d=1.03809e-28 t=25487
hua shang 	画上	c=0 d=4.49467e-35 t=25487
hua shang qu 	画上去	c=1 d=4.51721e-34 t=25487
hua sheng 	花生	c=1 d=0.923116 t=25487
hua shuo 	话说	c=1 d=5.15325e-25 t=25487
hua tu 	画图	c=3 d=6.38355e-28 t=25487
hua zhuang 	化妆	c=4 d=9.86087e-34 t=25487
huai le 	坏了	c=5 d=6.99828e-37 t=25487
huai shi 	坏事	c=2 d=2.91743e-13 t=25487
huai yi 	怀疑	c=3 d=1.88439e-13 t=25487
huai yun 	怀孕	c=1 d=0.00546167 t=25487
huai zhe 	怀着	c=1 d=2.94458e-29 t=25487
huan 	换	c=3 d=0.00219846 t=25487
huan 	环	c=1 d=7.01745e-40 t=25487
huan 	缓	c=1 d=0.00165327 t=25487
huan cun 	缓存	c=2 d=6.91555e-06 t=25487
huan deng pian 	幻灯片	c=6 d=0.0169127 t=25487
huan ge 	换个	c=1 d=6.79484e-43 t=25487
huan gei wo 	还给我	c=1 d=9.66592e-13 t=25487
huan huan 	换换	c=1 d=6.82536e-37 t=25487
huan jing 	环境	c=5 d=7.54346e-08 t=25487
huan le 	换了	c=1 d=3.4058e-35 t=25487
huan le 	欢乐	c=1 d=1.98478e-06 t=25487
huan qing 	还清	c=1 d=1.02637e-12 t=25487
huan yuan 	换源	c=3 d=0.0724398 t=25487
huan yuan 	还原	c=1 d=6.72376e-37 t=25487
huan zhe 	患者	c=14 d=0.409117 t=25487
huan zuo 	唤作	c=0 d=0.000217658 t=25487
huan zuo wo 	唤作我	c=1 d=0.0021875 t=25487
huang dan 	荒诞	c=1 d=8.21518e-41 t=25487
huang duan zi 	黄段子	c=1 d=3.84015e-06 t=25487
huang feng 	皇封	c=1 d=1.12532e-36 t=25487
huang jin 	黄金	c=1 d=3.87597e-27 t=25487
huang mei xi 	黄梅戏	c=3 d=4.94345e-36 t=25487
huang pi 	黄啤	c=1 d=8.46137e-06 t=25487
hui 	会	c=35 d=0.000185485 t=25487
hui 	回	c=15 d=2.13344e-07 t=25487
hui 	毁	c=1 d=8.42319e-41 t=25487
hui 	辉	c=0 d=9.25821e-07 t=25487
hui bao 	汇报	c=1 d=0.130681 t=25487
hui bu hui 	会不会	c=11 d=0.00209126 t=25487
hui da 	回答	c=2 d=1.98203e-19 t=25487
hui de 	会的	c=1 d=6.53863e-32 t=25487
hui fu 	回复	c=8 d=5.40821e-16 t=25487
hui fu 	恢复	c=1 d=8.54757e-37 t=25487
hui gei 	汇给	c=1 d=2.96962e-11 t=25487
hui guang fan zhao 	回光返照	c=1 d=1.04924e-36 t=25487
hui hui 	会会	c=1 d=2.06073e-36 t=25487
hui jia 	回家	c=5 d=2.51707e-07 t=25487
hui ju 	徽剧	c=1 d=1.48869e-34 t=25487
hui kuan 	汇款	c=1 d=2.6603e-11 t=25487
hui lai 	回来	c=19 d=2.05085e-05 t=25487
hui lai le 	回来了	c=2 d=3.75427e-34 t=25487
hui le 	回了	c=1 d=9.62097e-17 t=25487
hui qu 	回去	c=10 d=0.509157 t=25487
hui shi 	会是	c=1 d=7.18267e-49 t=25487
hui shi 	回事	c=1 d=8.69654e-05 t=25487
hui su 	回溯	c=1 d=1.264e-21 t=25487
hui su she 	回宿舍	c=1 d=2.26727e-42 t=25487
hui ta 	回她	c=1 d=3.37718e-24 t=25487
hui tou 	回头	c=44 d=1.42744 t=25487
hui tu 	绘图	c=2 d=2.72414e-24 t=25487
hui wo 	回我	c=4 d=2.66582e-06 t=25487
hui yi 	会议	c=6 d=0.0390956 t=25487
hui yi 	回忆	c=1 d=6.85959e-37 t=25487
hui you 	会友	c=2 d=1.65081e-36 t=25487
hui you 	会有	c=1 d=6.62482e-39 t=25487
hui yuan 	会员	c=1 d=5.7595e-10 t=25487
hui zong biao 	汇总表	c=1 d=1.28844e-11 t=25487
hun 	混	c=1 d=6.45465e-27 t=25487
hun dan ma 	魂胆麻	c=1 d=1.96023e-36 t=25487
hun de 	混得	c=1 d=4.70235e-36 t=25487
hun he 	混合	c=2 d=2.58036e-05 t=25487
hun hun he 	混混合	c=1 d=5.39594e-37 t=25487
hun liu 	混流	c=1 d=7.03826e-16 t=25487
hun luan 	混乱	c=3 d=3.59209e-43 t=25487
huo 	嚯	c=1 d=3.18928e-27 t=25487
huo 	或	c=13 d=8.91877e-10 t=25487
huo 	活	c=3 d=2.47614e-20 t=25487
huo de 	活得	c=2 d=7.08582e-07 t=25487
huo de 	获得	c=6 d=0.00519531 t=25487
huo de xing 	获得性	c=1 d=2.83549e-26 t=25487
huo hu 	火狐	c=2 d=1.39305e-22 t=25487
huo qu 	获取	c=3 d=0.00522135 t=25487
huo rong 	火绒	c=2 d=2.35908e-47 t=25487
huo shan 	火山	c=0 d=2.22927e-50 t=25487
huo shan tu 	火山图	c=1 d=2.24044e-49 t=25487
huo xu 	或许	c=5 d=3.56563e-10 t=25487
huo zhe 	或者	c=30 d=0.000466093 t=25487
id 	id	c=1 d=7.22872e-36 t=25487
in 	in	c=2 d=1.64274e-16 t=25487
in put 	input	c=1 d=0.000166586 t=25487
install 	installation	c=1 d=3.77514e-11 t=25487
install 	installment	c=1 d=1.01598e-10 t=25487
inw 	inward	c=0 d=8.2724e-06 t=25487
ji 	几	c=2 d=6.37845e-05 t=25487
ji 	即	c=6 d=6.14945e-16 t=25487
ji 	及	c=6 d=3.74916e-18 t=25487
ji 	寄	c=8 d=2.20901e-17 t=25487
ji 	急	c=3 d=0.00143739 t=25487
ji 	既	c=1 d=3.58968e-36 t=25487
ji 	记	c=0 d=6.14194e-32 t=25487
ji 	集	c=1 d=3.98642e-34 t=25487
ji 	鸡	c=1 d=1.92239e-42 t=25487
ji ban 	羁绊	c=1 d=3.98722e-07 t=25487
ji ben 	基本	c=20 d=0.0820338 t=25487
ji bing 	疾病	c=11 d=0.00318278 t=25487
ji bu zhu 	记不住	c=1 d=1.61043e-47 t=25487
ji chu 	基础	c=2 d=0.017249 t=25487
ji ci 	几次	c=3 d=9.8473e-37 t=25487
ji dan 	鸡蛋	c=1 d=1.73025e-09 t=25487
ji de 	记得	c=5 d=5.77146e-05 t=25487
ji dei 	記得	c=1 d=8.80492e-33 t=25487
ji di 	基地	c=1 d=3.83023e-05 t=25487
ji dian 	几点	c=3 d=1.39167e-06 t=25487
ji dong 	激动	c=1 d=4.69261e-41 t=25487
ji duan 	几段	c=4 d=5.04163e-35 t=25487
ji fen zhong 	几分钟	c=1 d=6.00474e-30 t=25487
ji gao 	极高	c=1 d=2.42917e-30 t=25487
ji ge 	几个	c=9 d=2.69878e-11 t=25487
ji ge ren 	几个人	c=3 d=3.16744e-05 t=25487
ji guo lai 	寄过来	c=1 d=1.46882e-23 t=25487
ji guo qu 	寄过去	c=1 d=1.85181e-43 t=25487
ji hu 	几乎	c=1 d=2.08286e-44 t=25487
ji hua 	计划	c=1 d=1.53537e-15 t=25487
ji hui 	机会	c=1 d=9.13747e-28 t=25487
ji huo 	激活	c=1 d=6.59065e-37 t=25487
ji ji 	积极	c=3 d=0.0376283 t=25487
ji jian 	几件	c=1 d=2.72282e-49 t=25487
ji jiao 	计较	c=1 d=3.02221e-41 t=25487
ji jie 	季节	c=3 d=2.95331e-05 t=25487
ji jin 	基金	c=3 d=2.40324e-41 t=25487
ji lie 	几列	c=1 d=1.94542e-35 t=25487
ji lu 	记录	c=9 d=0.0391639 t=25487
ji men 	几门	c=1 d=2.34196e-41 t=25487
ji neng 	技能	c=1 d=2.73182e-29 t=25487
ji nian 	纪念	c=1 d=1.31743e-08 t=25487
ji pian 	几篇	c=1 d=1.32786e-42 t=25487
ji qi 	及其	c=1 d=1.64329e-20 t=25487
ji qi 	机器	c=3 d=1.46446e-21 t=25487
ji qi xue xi 	机器学习	c=2 d=1.44827e-21 t=25487
ji qian 	几千	c=1 d=0.000252272 t=25487
ji qiao 	技巧	c=1 d=3.42695e-49 t=25487
ji ran 	既然	c=2 d=2.13446e-14 t=25487
ji rou 	肌肉	c=2 d=4.1945e-15 t=25487
ji shao 	极少	c=1 d=1.82803e-38 t=25487
ji shi 	记事	c=1 d=3.78221e-33 t=25487
ji shi ge 	几十个	c=1 d=4.31035e-12 t=25487
ji shi nian 	几十年	c=1 d=1.13724e-13 t=25487
ji shu 	技术	c=5 d=1.68962e-21 t=25487
ji suan 	计算	c=3 d=2.96045e-05 t=25487
ji suan bing du xue 	计算病毒学	c=1 d=0.000297529 t=25487
ji suan qi 	计算器	c=3 d=8.289e-27 t=25487
ji suan sheng wu xue 	计算生物学	c=1 d=1.32701e-05 t=25487
ji tian 	几天	c=5 d=0.001557 t=25487
ji wang 	既往	c=2 d=0.060205 t=25487
ji xiao 	极小	c=1 d=0.000889367 t=25487
ji xing 	急性	c=4 d=1.00787e-44 t=25487
ji xu 	急需	c=1 d=3.17889e-18 t=25487
ji xu 	继续	c=5 d=1.11125e-19 t=25487
ji yi 	记忆	c=1 d=5.17099e-36 t=25487
ji yin 	基因	c=67 d=0.0399377 t=25487
ji yin fen xi 	基因分析	c=1 d=7.28999e-47 t=25487
ji yin xing 	基因型	c=53 d=0.0256656 t=25487
ji yin zu 	基因组	c=31 d=0.00527382 t=25487
ji yu 	基于	c=14 d=0.000602153 t=25487
ji yu 	给予	c=1 d=0.0146986 t=25487
ji zhang 	几张	c=1 d=8.7595e-31 t=25487
ji zhe 	记者	c=1 d=8.03066e-09 t=25487
ji zhi 	机智	c=1 d=4.19594e-19 t=25487
ji zhong 	集中	c=1 d=1.9559e-10 t=25487
ji zi 	机子	c=1 d=2.72199e-16 t=25487
jia 	加	c=5 d=6.86408e-15 t=25487
jia 	家	c=1 d=1.89255e-06 t=25487
jia 	贾	c=3 d=0.000655001 t=25487
jia bao yu 	贾宝玉	c=1 d=4.94361e-07 t=25487
jia bu jia 	加不加	c=1 d=4.45919e-29 t=25487
jia ce 	加测	c=2 d=1.76872e-29 t=25487
jia ge 	价格	c=2 d=8.87042e-32 t=25487
jia guan jin jue 	加官进爵	c=1 d=1.11412e-36 t=25487
jia huo 	家伙	c=1 d=5.57941e-48 t=25487
jia ji hua 	甲基化	c=1 d=9.39785e-35 t=25487
jia ka 	加卡	c=1 d=1.41074e-19 t=25487
jia li 	家里	c=2 d=1.62295e-15 t=25487
jia li jia 	贾李佳	c=2 d=4.58327e-28 t=25487
jia lian 	贾琏	c=1 d=7.39388e-37 t=25487
jia man 	加满	c=1 d=1.44646e-19 t=25487
jia mi 	加密	c=3 d=1.31229e-47 t=25487
jia qiang 	加强	c=0 d=5.13383e-11 t=25487
jia quan 	甲醛	c=2 d=0.00314482 t=25487
jia ru 	假如	c=1 d=1.33411e-09 t=25487
jia ru 	加入	c=2 d=3.81379e-21 t=25487
jia shang 	加上	c=2 d=8.46113e-35 t=25487
jia shang qu 	加上去	c=1 d=1.18426e-19 t=25487
jia shen 	加深	c=1 d=5.40991e-38 t=25487
jia su 	加速	c=1 d=7.16407e-48 t=25487
jia you 	加油	c=3 d=0.1054 t=25487
jia zai 	加载	c=1 d=1.50365e-34 t=25487
jia zhi 	价值	c=4 d=2.07826e-18 t=25487
jia zhong 	加重	c=1 d=5.17732e-21 t=25487
jian 	建	c=1 d=1.11951e-34 t=25487
jian 	肩	c=0 d=2.4426e-37 t=25487
jian 	见	c=2 d=2.08648e-35 t=25487
jian 	间	c=2 d=3.86861e-34 t=25487
jian ai jian 	肩挨肩	c=1 d=2.45485e-36 t=25487
jian bie 	鉴别	c=1 d=7.4208e-21 t=25487
jian bu 	见不	c=0 d=3.87268e-18 t=25487
jian bu zhao 	见不着	c=1 d=3.89209e-17 t=25487
jian ce 	检测	c=53 d=0.0131676 t=25487
jian ce 	监测	c=1 d=5.87968e-47 t=25487
jian ce chu 	检测出	c=1 d=0.00179096 t=25487
jian ce lv 	检测率	c=1 d=2.97519e-33 t=25487
jian ce xian 	检测限	c=1 d=5.63089e-09 t=25487
jian cha 	检查	c=2 d=4.60861e-05 t=25487
jian chi 	坚持	c=1 d=8.86739e-28 t=25487
jian chu 	检出	c=1 d=2.64883e-19 t=25487
jian dan 	简单	c=2 d=1.26956e-19 t=25487
jian dao 	剑道	c=1 d=1.37579e-25 t=25487
jian dao 	见到	c=2 d=3.97072e-17 t=25487
jian dao shao nian 	剑道少年	c=1 d=1.24562e-25 t=25487
jian ding 	鉴定	c=9 d=0.0113902 t=25487
jian du 	减毒	c=1 d=1.19328e-20 t=25487
jian gong 	监工	c=1 d=2.58254e-15 t=25487
jian gu 	兼顾	c=1 d=5.4898e-34 t=25487
jian guo 	坚果	c=1 d=3.04636e-17 t=25487
jian guo 	建国	c=2 d=2.71542e-17 t=25487
jian guo 	见过	c=3 d=7.64547e-19 t=25487
jian guo hou 	建国后	c=1 d=4.49544e-36 t=25487
jian hao 	建好	c=1 d=2.24822e-31 t=25487
jian ji 	碱基	c=4 d=8.14934e-22 t=25487
jian jie 	简介	c=3 d=1.66037e-26 t=25487
jian jue 	坚决	c=1 d=3.15809e-29 t=25487
jian jun 	建军	c=2 d=5.77836e-19 t=25487
jian kan 	见刊	c=3 d=1.14709e-26 t=25487
jian kang 	健康	c=2 d=6.72513e-10 t=25487
jian kang ren 	健康人	c=2 d=2.71469e-35 t=25487
jian ku 	建库	c=4 d=4.80634e-21 t=25487
jian li 	建立	c=2 d=5.18906e-18 t=25487
jian lou 	简陋	c=1 d=1.72098e-34 t=25487
jian nan 	艰难	c=1 d=1.36738e-34 t=25487
jian pan 	键盘	c=1 d=1.14213e-34 t=25487
jian shao 	减少	c=2 d=0.000277413 t=25487
jian shen 	健身	c=2 d=8.80189e-29 t=25487
jian shi qi 	监视器	c=1 d=0.0186856 t=25487
jian shi qian 	见识浅	c=0 d=0.00026189 t=25487
jian shi qian bo 	见识浅薄	c=1 d=0.00263203 t=25487
jian suo 	检索	c=7 d=0.000150078 t=25487
jian ta 	见他	c=1 d=1.04401e-36 t=25487
jian ti 	简体	c=1 d=3.02119e-37 t=25487
jian xiao 	减小	c=1 d=3.8301e-34 t=25487
jian yan 	检验	c=2 d=0.71177 t=25487
jian yi 	建议	c=9 d=4.54594e-15 t=25487
jiang 	将	c=13 d=9.49742e-12 t=25487
jiang 	讲	c=8 d=5.87385e-06 t=25487
jiang bian 	江边	c=2 d=1.64257e-36 t=25487
jiang bian hui you 	江边会友	c=2 d=8.42028e-37 t=25487
jiang chu lai 	讲出来	c=1 d=1.62578e-41 t=25487
jiang dao 	降到	c=1 d=3.78156e-31 t=25487
jiang de 	讲的	c=1 d=1.60851e-33 t=25487
jiang de 	降得	c=1 d=1.62076e-34 t=25487
jiang jiang 	讲讲	c=1 d=7.72494e-23 t=25487
jiang jiu 	讲究	c=1 d=2.3844e-17 t=25487
jiang qi 	将其	c=3 d=4.22644e-16 t=25487
jiang tian 	江天	c=1 d=7.06851e-37 t=25487
jiang ting 	江停	c=2 d=0.0127336 t=25487
jiang xi 	江西	c=1 d=3.53022e-16 t=25487
jiang yi xia 	讲一下	c=1 d=1.05722e-37 t=25487
jiang ze min 	江泽民	c=1 d=7.83238e-09 t=25487
jiang zhou 	江州	c=1 d=5.3359e-23 t=25487
jiao 	交	c=4 d=1.00391e-07 t=25487
jiao 	叫	c=12 d=3.62015e-06 t=25487
jiao 	嚼	c=1 d=2.37041e-36 t=25487
jiao 	较	c=1 d=1.87016e-12 t=25487
jiao bai 	茭白	c=1 d=0.904837 t=25487
jiao ben 	脚本	c=5 d=7.22659e-11 t=25487
jiao cha 	交叉	c=15 d=5.72335e-10 t=25487
jiao chang 	较长	c=1 d=1.01157e-47 t=25487
jiao cheng 	教程	c=28 d=0.995022 t=25487
jiao da 	较大	c=2 d=2.75355e-34 t=25487
jiao dai 	交待	c=1 d=1.52741e-42 t=25487
jiao de 	交的	c=1 d=9.85751e-38 t=25487
jiao duo 	较多	c=1 d=1.95146e-42 t=25487
jiao fei 	缴费	c=2 d=6.2168e-35 t=25487
jiao feng 	交锋	c=1 d=1.14805e-36 t=25487
jiao gao 	交稿	c=2 d=4.42098e-16 t=25487
jiao gao 	较高	c=2 d=1.57376e-11 t=25487
jiao gei 	交给	c=2 d=7.02247e-19 t=25487
jiao le 	交了	c=2 d=2.66628e-08 t=25487
jiao le 	叫了	c=1 d=1.9718e-17 t=25487
jiao liu 	交流	c=3 d=3.88694e-23 t=25487
jiao liu hui 	交流会	c=1 d=1.27185e-35 t=25487
jiao liu qun 	交流群	c=2 d=2.8903e-16 t=25487
jiao lv 	焦虑	c=2 d=2.3719e-07 t=25487
jiao na 	缴纳	c=4 d=2.07609e-35 t=25487
jiao ni 	叫你	c=2 d=0.990049 t=25487
jiao ni 	教你	c=1 d=0.000172519 t=25487
jiao qing 	较轻	c=1 d=0.00329615 t=25487
jiao sha 	叫啥	c=1 d=2.77263e-27 t=25487
jiao shang 	叫上	c=1 d=2.45025e-14 t=25487
jiao shou 	教授	c=1 d=1.4442e-30 t=25487
jiao tu 	胶图	c=7 d=6.1529e-12 t=25487
jiao wei 	较为	c=4 d=2.30474e-29 t=25487
jiao wo 	叫我	c=4 d=2.28407e-10 t=25487
jiao wo 	教我	c=3 d=3.91501e-27 t=25487
jiao wo men 	叫我们	c=1 d=1.26685e-18 t=25487
jiao yang 	校样	c=1 d=1.47694e-29 t=25487
jiao zhong 	较重	c=1 d=0.00336273 t=25487
jiao zi 	饺子	c=1 d=6.94528e-36 t=25487
jie 	借	c=1 d=1.85438e-30 t=25487
jie 	接	c=1 d=3.01297e-05 t=25487
jie 	节	c=1 d=8.2323e-36 t=25487
jie chu 	接触	c=1 d=1.21399e-46 t=25487
